t,theta,omega,x,y
0.0000000000,0.1459922983,-0.4270561448,0.1454742434,-0.9893620391
0.0000000000,0.1455645293,-0.4284811724,0.1450510117,-0.9894241780
0.0000000000,0.1451353373,-0.4299020410,0.1446263455,-0.9894863416
0.0000000000,0.1447047266,-0.4313187366,0.1442002486,-0.9895485275
0.0000000000,0.1442727012,-0.4327312452,0.1437727251,-0.9896107333
0.0000000000,0.1438392655,-0.4341395528,0.1433437790,-0.9896729566
0.0000000000,0.1434044235,-0.4355436455,0.1429134141,-0.9897351949
0.0000000000,0.1429681796,-0.4369435093,0.1424816346,-0.9897974459
0.0000000000,0.1425305379,-0.4383391305,0.1420484443,-0.9898597070
0.0000000000,0.1420915028,-0.4397304952,0.1416138474,-0.9899219758
0.0000000000,0.1416510784,-0.4411175896,0.1411778479,-0.9899842500
0.0000000000,0.1412092690,-0.4425004000,0.1407404498,-0.9900465271
0.0000000000,0.1407660790,-0.4438789127,0.1403016573,-0.9901088046
0.0000000000,0.1403215126,-0.4452531140,0.1398614744,-0.9901710802
0.0000000000,0.1398755742,-0.4466229903,0.1394199052,-0.9902333513
0.0000000000,0.1394282681,-0.4479885280,0.1389769538,-0.9902956156
0.0000000000,0.1389795986,-0.4493497136,0.1385326244,-0.9903578707
0.0000000000,0.1385295701,-0.4507065336,0.1380869211,-0.9904201140
0.0000000000,0.1380781870,-0.4520589745,0.1376398481,-0.9904823432
0.0000000000,0.1376254536,-0.4534070230,0.1371914096,-0.9905445558
0.0000000000,0.1371713744,-0.4547506655,0.1367416098,-0.9906067495
0.0000000000,0.1367159538,-0.4560898889,0.1362904529,-0.9906689217
0.0000000000,0.1362591961,-0.4574246798,0.1358379431,-0.9907310701
0.0000000000,0.1358011059,-0.4587550250,0.1353840846,-0.9907931922
0.0000000000,0.1353416876,-0.4600809111,0.1349288818,-0.9908552855
0.0000000000,0.1348809456,-0.4614023252,0.1344723389,-0.9909173478
0.0000000000,0.1344188844,-0.4627192541,0.1340144601,-0.9909793764
0.0000000000,0.1339555086,-0.4640316846,0.1335552498,-0.9910413691
0.0000000000,0.1334908225,-0.4653396037,0.1330947123,-0.9911033233
0.0000000000,0.1330248309,-0.4666429985,0.1326328520,-0.9911652368
0.0000000000,0.1325575380,-0.4679418560,0.1321696732,-0.9912271069
0.0000000000,0.1320889487,-0.4692361632,0.1317051802,-0.9912889314
0.0000000000,0.1316190672,-0.4705259073,0.1312393774,-0.9913507078
0.0000000000,0.1311478984,-0.4718110755,0.1307722692,-0.9914124337
0.0000000000,0.1306754466,-0.4730916550,0.1303038601,-0.9914741066
0.0000000000,0.1302017166,-0.4743676330,0.1298341545,-0.9915357242
0.0000000000,0.1297267129,-0.4756389969,0.1293631567,-0.9915972840
0.0000000000,0.1292504401,-0.4769057339,0.1288908713,-0.9916587837
0.0000000000,0.1287729030,-0.4781678316,0.1284173027,-0.9917202208
0.0000000000,0.1282941060,-0.4794252772,0.1279424554,-0.9917815930
0.0000000000,0.1278140540,-0.4806780584,0.1274663338,-0.9918428977
0.0000000000,0.1273327515,-0.4819261626,0.1269889426,-0.9919041327
0.0000000000,0.1268502032,-0.4831695773,0.1265102862,-0.9919652955
0.0000000000,0.1263664139,-0.4844082902,0.1260303692,-0.9920263837
0.0000000000,0.1258813882,-0.4856422890,0.1255491962,-0.9920873950
0.0000000000,0.1253951309,-0.4868715614,0.1250667716,-0.9921483269
0.0000000000,0.1249076467,-0.4880960950,0.1245831001,-0.9922091771
